City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,labuan,5.2767,115.2417,82.76,83,20,3.44,MY,1702585966
84,bathsheba,13.2167,-59.5167,84.81,70,40,17.27,BB,1702585966
85,qaqortoq,60.7167,-46.0333,-1.21,76,16,8.12,GL,1702585966
86,el granada,37.5027,-122.4694,64.81,64,0,3.44,US,1702585967
87,saint-philippe,-21.3585,55.7679,76.59,83,52,10.22,RE,1702585967
88,minas de marcona,-15.2119,-75.1103,68.59,67,31,10.51,PE,1702585939
89,bilibino,68.0546,166.4372,-12.73,87,100,7.74,RU,1702585967
90,waitangi,-43.9535,-176.5597,56.82,72,37,5.99,NZ,1702585967
91,nchelenge,-9.3451,28.734,71.28,85,97,4.54,ZM,1702585968
92,whitehorse,60.7161,-135.0538,29.17,86,100,16.11,CA,1702585968
93,longyearbyen,78.2186,15.6401,22.84,74,0,14.97,SJ,1702585968
94,santona,43.4439,-3.4576,54.07,84,100,11.61,ES,1702585968
95,palapye,-22.546,27.1251,78.39,54,98,11.05,BW,1702585968
96,ad dawadimi,24.5077,44.3924,51.15,52,0,6.98,SA,1702585969
97,puerto ayora,-0.7393,-90.3518,87.76,85,80,9.84,EC,1702585969
98,ntoum,0.3833,9.7833,77.43,91,74,3.06,GA,1702585969
99,vokhtoga,58.8147,41.0461,12.43,94,100,7.83,RU,1702585969
100,ixtapa,20.7,-105.2,83.23,51,100,4.61,MX,1702585969
101,chonchi,-42.6128,-73.8092,55.11,80,100,9.1,CL,1702585969
102,ilulissat,69.2167,-51.1,15.82,86,100,11.5,GL,1702585969
103,galle,6.0367,80.217,76.64,93,100,8.48,LK,1702585970
104,badger,64.8,-147.5333,-13.65,77,40,3.44,US,1702585970
105,puerto natales,-51.7236,-72.4875,52.25,58,100,6.91,CL,1702585970
106,hamilton,39.1834,-84.5333,53.94,31,0,4.0,US,1702585792
107,talnakh,69.4865,88.3972,-7.8,98,100,8.08,RU,1702585970
108,aasiaat,68.7098,-52.8699,2.08,96,94,7.31,GL,1702585970
109,ilovlya,49.3033,43.9796,21.45,82,100,13.27,RU,1702585971
110,bethel,41.3712,-73.414,39.36,54,0,3.44,US,1702585907
111,pitimbu,-7.4706,-34.8086,84.79,75,38,10.98,BR,1702585971
112,undurkhaan,47.3194,110.6556,-5.12,100,100,0.96,MN,1702585971
113,anapa,44.8908,37.3239,53.94,71,0,17.9,RU,1702585971
114,igarka,67.4667,86.5833,-9.67,97,100,12.35,RU,1702585971
115,neyriz,29.1988,54.3278,42.85,56,0,2.55,IR,1702585971
116,constantia,44.1833,28.65,47.08,84,100,10.47,RO,1702585972
117,saldanha,-33.0117,17.9442,62.65,74,0,25.17,ZA,1702585972
118,lospalos,-8.5186,127.0025,74.08,87,100,1.7,TL,1702585972
119,ksar el kebir,35.0017,-5.9053,50.2,73,0,2.82,MA,1702585972
120,chisec,15.8167,-90.2833,80.83,93,84,1.5,GT,1702585972
121,usogorsk,63.4106,48.6872,7.66,95,100,5.66,RU,1702585972
122,salyan,39.5936,48.9805,44.51,77,100,7.87,AZ,1702585972
123,kingston,17.997,-76.7936,86.95,65,40,5.99,JM,1702585973
124,afaahiti,-17.75,-149.2833,84.07,88,100,14.34,PF,1702585973
125,selfoss,63.9331,-20.9971,34.05,65,38,33.67,IS,1702585973
126,guiuan,11.0333,125.7247,83.35,76,94,15.26,PH,1702585973
127,zhangjiakou,40.81,114.8794,9.45,74,93,11.97,CN,1702585973
128,nadym,65.5333,72.5167,1.2,97,100,5.75,RU,1702585973
129,kakamega,0.2842,34.7523,61.45,91,62,3.83,KE,1702585912
130,gargzdai,55.7128,21.4033,31.78,98,99,2.66,LT,1702585974
131,cill airne,52.05,-9.5167,46.85,79,100,4.38,IE,1702585974
132,wuwei,37.9281,102.6414,11.44,71,100,3.02,CN,1702585974
133,ribeira grande,38.5167,-28.7,62.78,88,40,27.63,PT,1702585974
134,ust-nera,64.5667,143.2,-7.92,98,100,7.92,RU,1702585974
135,portland,45.5234,-122.6762,51.62,81,100,10.36,US,1702585814
136,castillos,-34.1667,-53.8333,72.34,85,100,7.52,UY,1702585974
137,khilok,51.3674,110.4676,-21.41,97,47,3.27,RU,1702585975
138,sokhumi,43.0033,41.0153,51.21,56,100,6.13,GE,1702585868
139,klyuchi,52.2667,79.1667,-6.66,82,10,4.21,RU,1702585975
140,al jaradiyah,16.5795,42.9124,80.1,64,1,4.54,SA,1702585975
141,mahina,-17.5065,-149.489,85.77,66,75,19.57,PF,1702585975
142,chillicothe,39.3331,-82.9824,49.98,31,0,1.99,US,1702585975
143,klaksvik,62.2266,-6.589,45.52,68,74,31.45,FO,1702585975
144,dakhla,23.6848,-15.958,68.02,77,1,24.16,EH,1702585975
145,bangassou,4.7413,22.8184,68.16,51,18,0.98,CF,1702585976
146,lihue,21.9789,-159.3672,76.24,79,75,27.63,US,1702585976
147,christchurch,-43.5333,172.6333,58.91,83,20,12.66,NZ,1702585725
148,happy valley-goose bay,53.3168,-60.3315,16.11,62,75,16.11,CA,1702585976
149,kalat,29.0225,66.5916,42.78,38,100,4.29,PK,1702585976
150,sovetskaya gavan',48.9723,140.2878,-6.9,72,0,12.17,RU,1702585976
151,uturoa,-16.7333,-151.4333,81.23,79,68,21.0,PF,1702585976
152,enewetak,11.3474,162.3373,81.75,81,92,21.52,MH,1702585977
153,papatowai,-46.5619,169.4708,61.74,60,100,5.17,NZ,1702585977
154,hammerfest,70.6634,23.6821,25.25,63,0,11.5,NO,1702585977
155,petukhovo,55.0692,67.9019,-11.16,84,87,6.24,RU,1702585977
156,delacombe,-37.5891,143.8147,50.74,90,12,1.01,AU,1702585977
157,petropavlovsk-kamchatsky,53.0452,158.6483,19.45,73,20,27.0,RU,1702585977
158,gaigeturi,33.4644,126.3183,66.25,82,75,14.97,KR,1702585977
159,aswan,24.0934,32.907,69.1,45,0,9.22,EG,1702585978
160,puerto aysen,-45.4,-72.7,48.11,100,100,4.23,CL,1702585978
161,lompoc,34.6391,-120.4579,75.69,25,0,10.36,US,1702585978
162,goure,13.9835,10.2704,66.63,25,13,9.46,NE,1702585716
